class,hand_group,expected_hands,found,extracted,kept_1h,kept_2h,drop_wrong_count,drop_no_hands,drop_load_fail,dropped,success_pct,wrong_count_pct,drop_rate_pct
A,two_hand,2,1000,950,0,950,50,0,0,50,95.0,5.0,5.0
B,two_hand,2,1000,737,0,737,253,10,0,263,73.7,25.3,26.3
D,two_hand,2,1000,860,0,860,133,7,0,140,86.0,13.3,14.0
E,two_hand,2,1000,915,0,915,84,1,0,85,91.5,8.4,8.5
F,two_hand,2,1000,724,0,724,257,19,0,276,72.4,25.7,27.6
G,two_hand,2,1000,784,0,784,205,11,0,216,78.4,20.5,21.6
I,two_hand,2,1000,886,0,886,109,5,0,114,88.6,10.9,11.4
K,two_hand,2,1000,757,0,757,232,11,0,243,75.7,23.2,24.3
L,two_hand,2,1000,766,0,766,221,13,0,234,76.6,22.1,23.4
M,two_hand,2,1000,531,0,531,448,21,0,469,53.1,44.8,46.9
N,two_hand,2,1000,671,0,671,310,19,0,329,67.1,31.0,32.9
O,two_hand,2,1000,799,0,799,196,5,0,201,79.9,19.6,20.1
P,two_hand,2,1000,790,0,790,198,12,0,210,79.0,19.8,21.0
Q,two_hand,2,1000,847,0,847,147,6,0,153,84.7,14.7,15.3
R,two_hand,2,1000,675,0,675,312,13,0,325,67.5,31.2,32.5
S,two_hand,2,1000,534,0,534,435,31,0,466,53.4,43.5,46.6
T,two_hand,2,1000,627,0,627,360,13,0,373,62.7,36.0,37.3
U,two_hand,2,1000,651,0,651,328,21,0,349,65.1,32.8,34.9
V,two_hand,2,1000,590,0,590,396,14,0,410,59.0,39.6,41.0
W,two_hand,2,1000,379,0,379,578,43,0,621,37.9,57.8,62.1
X,two_hand,2,1000,789,0,789,197,14,0,211,78.9,19.7,21.1
Z,two_hand,2,1000,817,0,817,182,1,0,183,81.7,18.2,18.3
10,two_hand,2,1000,910,0,910,87,3,0,90,91.0,8.7,9.0
C,one_hand,1,1000,935,935,0,0,65,0,65,93.5,0.0,6.5
0,one_hand,1,1000,832,832,0,0,168,0,168,83.2,0.0,16.8
1,one_hand,1,1000,982,982,0,0,18,0,18,98.2,0.0,1.8
2,one_hand,1,1000,984,984,0,0,16,0,16,98.4,0.0,1.6
3,one_hand,1,1000,984,984,0,0,16,0,16,98.4,0.0,1.6
4,one_hand,1,1000,983,983,0,0,17,0,17,98.3,0.0,1.7
5,one_hand,1,1000,986,986,0,0,14,0,14,98.6,0.0,1.4
6,one_hand,1,1000,988,988,0,0,12,0,12,98.8,0.0,1.2
7,one_hand,1,1000,986,986,0,0,14,0,14,98.6,0.0,1.4
8,one_hand,1,1000,989,989,0,0,11,0,11,98.9,0.0,1.1
9,one_hand,1,1000,982,982,0,0,18,0,18,98.2,0.0,1.8
