hand_group,model,accuracy,weighted_f1
one_hand,svm_rbf,0.9987460815047022,0.9987481567457681
one_hand,mlp_sklearn,0.9987460815047022,0.9987481567457681
one_hand,knn,0.9981191222570532,0.9981253629166608
one_hand,random_forest,0.9974921630094044,0.9974983965131683
one_hand,mlp_keras,0.9968652037617555,0.9968715151182271
two_hand,svm_rbf,0.9984307571596704,0.9984305143959799
two_hand,random_forest,0.9980384464495881,0.998037404557333
two_hand,knn,0.9968615143193409,0.9968597800748978
two_hand,mlp_sklearn,0.9964692036092585,0.9964652633991818
two_hand,mlp_keras,0.9850921930168693,0.9849794815390016
