hand_group,model,accuracy,weighted_f1,uses_raw_pixels
one_hand,svm_rbf,0.9987460815047022,0.9987481567457681,No
one_hand,mlp_sklearn,0.9987460815047022,0.9987481567457681,No
two_hand,svm_rbf,0.9984307571596704,0.9984305143959799,No
one_hand,knn,0.9981191222570532,0.9981253629166608,No
two_hand,random_forest,0.9980384464495881,0.998037404557333,No
one_hand,random_forest,0.9974921630094044,0.9974983965131683,No
one_hand,mlp_keras,0.9968652037617555,0.9968715151182271,No
two_hand,knn,0.9968615143193409,0.9968597800748978,No
two_hand,mlp_sklearn,0.9964692036092585,0.9964652633991818,No
two_hand,mlp_keras,0.9850921930168693,0.9849794815390016,No
combined_raw_pixel,pixel_svm_baseline,0.9633333333333334,0.9632680615457065,Yes
